Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;2;5;716;2016,095;140,059;102,811;33,855;26,928;116,777;35,114;2010;125;109,983;28,574;16,11;2,264502653;;;;
1;na;2;6;231;639,08;143,682;55,355;18,73;15,703;31,081;19,416;631;149;34,509;16,263;5,1975;1,286240892;;;;
1;na;2;7;1632;427,19;182,455;151,539;49,065;42,351;24,318;50,804;408;199;36,193;43,013;36,72;3,418821291;;;;
1;na;2;8;59;1541,144;215,805;33,799;13,608;5,52;2,928;13,342;1535;215;167,005;6;1,3275;0,650043363;;;;
1;na;2;9;103;1759,277;220,859;38,627;15,273;8,587;1,03;15,524;1752;223;14,931;9;2,3175;0,858884836;;;;
1;na;2;10;630;2024,721;240,856;107,983;38,901;20,62;100,788;39;2015;226;112,62;24,786;14,175;2,124156924;;;;
1;na;2;11;1192;1277,715;249,238;164,995;39,594;38,332;166,695;50,695;1264;232;112,011;42,847;26,82;2,92182668;;;;
1;na;2;12;1728;1908,848;265,197;176,51;54,253;40,553;28,662;60,877;1880;280;42,337;44,123;38,88;3,517938086;;;;
1;na;2;13;160;1501,894;248,538;48,527;17,855;11,41;10,174;18,682;1493;251;15,524;12,335;3,6;1,07047447;;;;
1;na;2;14;103;1030,549;259,597;37,799;12,28;10,68;102,319;13,454;1026;255;131,987;11;2,3175;0,858884836;;;;
1;na;2;15;4702;1822,246;317,883;274,735;99,753;60,016;58,422;99,905;1786;354;41,348;58,607;105,795;5,803067672;;;;
1;na;2;16;106;672,387;281,264;43,698;14,942;9,033;1,22;16,279;664;280;169,38;9;2,385;0,871303092;;;;
1;na;2;17;111;699,266;286,995;45,698;14,333;9,86;129,915;15,652;692;283;153,435;11,561;2,4975;0,891615915;;;;
1;na;2;18;155;1965,506;293,668;44,87;14,978;13,176;14,922;15,811;1958;296;18,435;13;3,4875;1,05361555;;;;
1;na;2;19;1081;523,343;306,311;145,196;42,018;32,757;151,781;47,011;506;291;150,709;34,574;24,3225;2,782461537;;;;
