Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
2;na;1;15;2643;1494,35;1892,221;194,995;63,44;53,045;106,187;67,417;1481;1863;110,854;54;59,4675;4,350757768
2;na;2;1;2188;1789,338;90,989;198,995;80,209;34,733;71,981;79,555;1779;130;75,44;35,582;49,23;3,958585062
2;na;2;2;517;1882,357;136,829;85,841;29,605;22,235;3,489;30,083;1868;131;158,552;22;11,6325;1,924250439
2;na;2;3;331;1566,434;258,56;68,77;24,199;17,416;102,814;25;1562;247;106,26;18;7,4475;1,539679472
2;na;2;4;344;1167,041;404,384;70,77;26,089;16,789;82,859;26,926;1164;417;74,932;17;7,74;1,569623687
2;na;2;5;2217;957,781;599,225;181,238;58,929;47,902;64,233;64,257;945;630;69,027;49,063;49,8825;3,984732475
2;na;2;6;4868;452,075;795,796;269,622;93,517;66,278;114,09;95,425;420;762;128,191;68,27;109,53;5,904615299
2;na;2;7;1768;1294,424;842,33;159,338;54,667;41,178;125,686;55,362;1285;817;110,072;42,332;39,78;3,55842202
2;na;2;8;1673;1865,538;1000,308;154,61;52,867;40,292;147,076;53,852;1842;986;148,671;40,702;37,6425;3,461499659
2;na;2;9;1618;1074,368;1054,528;152,368;53,285;38,662;152,375;54,203;1052;1039;142,496;38,92;36,405;3,404125645
2;na;2;10;569;1693,681;1065,927;89,154;29,046;24,942;73,075;31,321;1690;1081;73,301;26;12,8025;2,018703128
2;na;2;11;2256;427,003;1231,661;179,723;61,271;46,881;65,107;64,846;416;1263;70,168;47,795;50,76;4,01962807
2;na;2;12;304;1350,237;1393,658;67,012;24,749;15,64;129,786;25,807;1341;1384;125,538;16,971;6,84;1,475547228
2;na;2;13;1727;1875,074;1547,74;156,167;54,771;40,147;64,117;56,921;1866;1575;71,565;41,012;38,8575;3,516920016
2;na;2;14;622;871,566;1677,413;93,74;33,277;23,799;160,277;34,205;855;1674;164,745;24,604;13,995;2,110627124
2;na;2;15;5502;1263,768;1857,734;291,421;103,046;67,983;82,082;103,247;1259;1911;81,085;69,822;123,795;6,27735393
