Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;5;14;2859;946,025;1765,027;200,995;67,31;54,081;89,411;68,884;938;1799;76,569;53,543;64,3275;4,525050188;;;;
1;na;6;1;5654;325,076;73,137;291,12;98,128;73,362;170,43;101,494;275;80;5,654;72,761;127,215;6,363473279;;;;
1;na;6;2;7193;561,584;172,195;335,563;116,85;78,378;179,208;123,227;502;155;164,949;77,906;161,8425;7,177469453;;;;
1;na;6;3;5839;168,806;220,642;307,019;114,055;65,183;150,554;110,725;115;207;159,928;63,497;131,3775;6,466742385;;;;
1;na;6;4;4582;1095,114;469,034;281,664;109,446;53,305;16,827;107,968;1044;486;15,581;52,159;103,095;5,728538881;;;;
1;na;6;5;764;236,649;543,702;122,326;50,755;19,166;3,492;49,82;210;547;10,408;21,863;17,19;2,339176552;;;;
1;na;6;6;3805;446,439;689,524;264,007;89,013;54,426;87,826;96,509;433;649;100,146;62,557;85,6125;5,220278262;;;;
1;na;6;7;1839;1331,039;717,455;162,024;53,256;43,967;7,569;54,818;1305;710;165,203;42,707;41,3775;3,629168957;;;;
1;na;6;8;6675;1335,512;1081,509;332,576;109,672;77,494;64,801;109,836;1330;1138;79,509;85,255;150,1875;6,914200318;;;;
1;na;6;9;1138;1147,219;1134,119;156,326;69,091;20,972;82,867;66,91;1143;1166;80,538;21,443;25,605;2,854877342;;;;
1;na;6;10;3121;1650,398;1153,773;224,794;84,879;46,817;17,965;85,071;1608;1165;17,796;45,538;70,2225;4,72784475;;;;
1;na;6;11;3432;626,741;1237,631;234,208;82,156;53,189;108,25;79,906;620;1278;81,363;50,669;77,22;4,95781095;;;;
1;na;6;12;1886;1763,706;1246,047;163,823;52,259;45,95;67,501;54,129;1760;1219;101,725;45,156;42,435;3,675252375;;;;
1;na;6;13;2911;1534,603;1458,283;210,652;71,751;51,656;96,957;74,216;1528;1495;75,964;52,45;65,4975;4,566015963;;;;
1;na;6;14;3699;105,571;1567,847;288,853;130,153;36,186;84,768;121,926;97;1628;82,933;35,122;83,2275;5,1470512;;;;
1;na;6;15;5633;1100,175;1699,973;310,936;120,324;59,607;95,207;119,34;1100;1760;85,675;60,429;126,7425;6,351644728;;;;
1;na;6;16;4302;759,165;1768,973;248,735;76,882;71,246;158,174;82,006;720;1781;15,562;68,093;96,795;5,550748187;;;;
1;na;6;17;7999;515,236;1867,393;345,161;113,312;89,881;99,564;120,304;504;1926;76,541;90,757;179,9775;7,568924464;;;;
1;na;6;18;554;805,791;1864,363;106,284;47,035;14,997;86,057;44,911;801;1886;78,44;14,875;12,465;1,991916848;;;;
