MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;85;613;34,94149737;24,18583596;1,444709103;1861,174551;1207,814029;13,7925;2,095301674;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;86;814;39,6907249;26,8892706;1,476080385;1869,69656;303,3636364;18,315;2,414507313;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;87;5553;161,0838483;49,74236845;3,238363057;1925,872501;638,2636413;124,9425;6,306380337;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;88;8643;126,4737455;87,55578313;1,444493338;1910,506884;116,6272128;194,4675;7,867714267;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;89;4837;134,7429841;49,92837615;2,698725545;1901,104404;1731,365516;108,8325;5,885784628;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;90;434;30,12716098;20,75030908;1,451889746;1902,089862;1633,315668;9,765;1,763036029;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;91;751;35,20251612;27,40883502;1,284349229;1910,267643;1903,949401;16,8975;2,319189794;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;92;113;13,8904727;10,37401562;1,338967784;1904,867257;1186,141593;2,5425;0,899612631;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;93;272;25,19363767;16,10058128;1,564765721;1915,588235;1152,132353;6,12;1,395727948;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;94;1270;66,43557427;27,59846599;2,407219817;1949,006299;1239,256693;28,575;3,015908652;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;95;915;53,21872116;22,28299703;2,388310742;1960,02623;741,4786885;20,5875;2,559922808;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;96;185;22,57411571;10,51792764;2,146251285;1974,189189;1167,67027;4,1625;1,151071197;4;8;Otsu;3;255;0;05.04.2023
190C-250h;Sample1;Stelle1 DF 100 60 kx 10s Lochrand;97;187;18,09912695;13,20607378;1,370515359;1994,973262;1243,219251;4,2075;1,157276478;4;8;Otsu;3;255;0;05.04.2023
