MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;5;207;17,60369552;15,03854669;1,17057159;444,2560386;1190,483092;4,6575;1,217591185;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;6;7947;135,312674;78,74337423;1,718400759;504,6026173;1146,860702;178,8075;7,54428227;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;7;5498;98,24037477;73,38566571;1,338686157;493,3672244;546,451255;123,705;6,275071671;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;8;10081;190,2561094;70,73279372;2,68978644;739,3785339;103,961611;226,8225;8,497049144;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;9;1285;51,25750121;34,55896615;1,483189659;1036,975875;1823,173541;28,9125;3,033666855;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;10;279;24,66407236;14,71980743;1,675570314;1097,401434;1882,634409;6,2775;1,413573596;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;11;758;59,1206503;17,09553417;3,458251126;1223,472296;593,7598945;17,055;2,329973199;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;12;3347;72,78400001;59,46216595;1,224038829;1352,181356;469,9638482;75,3075;4,896031225;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;13;441;30,03214233;19,90159856;1,509031661;1366,371882;1951,895692;9,9225;1,777197188;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;14;1464;49,81238647;38,81273328;1,28340321;1485,972678;1867,401639;32,94;3,238074683;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;15;781;36,85187635;27,25204129;1,352261137;1609,924456;1855,153649;17,5725;2,365058239;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;16;4915;110,9487175;57,73516739;1,921683482;1789,232757;1104,323906;110,5875;5,933051031;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;17;122;13,01277736;11,95132827;1,08881432;1815,540984;1166,434426;2,745;0,934751645;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;18;1548;50,80426135;43,29217922;1,173520536;1882,197674;1620,5323;34,83;3,329674659;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle1 DF 30s Spot 3 alpha 1 deltaE 15eV;19;8388;145,2411906;75,91890082;1,913109766;1944,622675;321,0491178;188,73;7,750782207;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;1;2315;68,65141914;46,2997418;1,482760302;113,5084233;135,400432;52,0875;4,071850463;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;2;1392;53,72943698;33,69902092;1,594391633;164,9224138;35,46048851;31,32;3,157446062;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;3;923;59,54690677;20,96588647;2,840180732;232,7020585;738,3261105;20,7675;2,571089372;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;4;3994;90,10794503;56,91651708;1,583159857;294,2103155;91,997997;89,865;5,348356563;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;5;1445;47,75480361;39,00043763;1,224468404;323,0809689;554,7017301;32,5125;3,216993966;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;6;422;24,20184655;22,37697408;1,081551351;334,2843602;324,4905213;9,495;1,738491406;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;7;374;31,80310347;19,05953616;1,668618963;357,4438503;725,5187166;8,415;1,63663609;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;8;310;24,79506633;16,03747247;1,546070703;474,9612903;626,5193548;6,975;1,490037401;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;9;150;27,2493328;7,342036937;3,7114132;539,7533333;90,95333333;3,375;1,036482448;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;10;131;14,45889152;11,54071534;1,252859211;569,3969466;192,129771;2,9475;0,96861674;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;11;1618;81,52498932;26,50900196;3,075369999;613,7422744;953,8714462;36,405;3,404125645;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;12;516;31,82365194;20,95399943;1,5187388;608,003876;228,8682171;11,61;1,922388561;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;13;155;18,99893475;10,62049829;1,788892971;648,7290323;191,8580645;3,4875;1,05361555;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;14;2706;75,66771758;46,14834414;1,639662679;706,1566888;872,8580931;60,885;4,402305921;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;15;197;18,61052351;13,46599509;1,382038489;737,7614213;210,7005076;4,4325;1,187816724;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;16;2417;88,45646077;36,30083171;2,43676127;838,2912702;657,2635499;54,3825;4,160587385;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle2 DF 30s Spot 3 alpha 1 deltaE 15eV;17;2398;84,94068974;38,77214977;2,190765543;885,6530442;166,7743953;53,955;4,144201963;4;8;Otsu;3;255;0;05.04.2023
