MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
T61;Sample1;Stelle1 DF 30s;49;1655;53,88954088;42,1472694;1,278601002;1380,853172;1366,166163;37,2375;3,442827964;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;50;331;25,56265791;18,71201383;1,366109396;1444,963746;507,305136;7,4475;1,539679472;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;51;3922;90,76158869;55,84757187;1,625166245;1492,568842;1638,441101;88,245;5,299929802;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;52;160;15,95802154;12,89691042;1,237352282;1515,58125;586,58125;3,6;1,07047447;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;53;201;19,67777888;13,17521106;1,493545629;1521,189055;1244,169154;4,5225;1,199815178;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;54;768;35,47973788;29,10518437;1,219017802;1599,983073;2013,214844;17,28;2,345292057;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;55;1299;41,54004473;40,26561757;1,031650506;1607,143187;1315,133949;29,2275;3,050147898;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;56;97;11,6875499;10,55036496;1,107786313;1634,030928;740,5463918;2,1825;0,833493447;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;57;1066;44,44393469;31,05871486;1,430965025;1674,87242;1685,787054;23,985;2,763089325;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;58;110;14,29939939;9,806890992;1,458097108;1666,381818;1211,190909;2,475;0,887590541;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;59;697;34,4243087;26,1874651;1,314533826;1722,54089;388,1176471;15,6825;2,234254862;4;8;Otsu;3;255;0;05.04.2023
T61;Sample1;Stelle1 DF 30s;60;254;19,09643562;17,61844309;1,083888941;1855,444882;532,6692913;5,715;1,348755352;4;8;Otsu;3;255;0;05.04.2023
